BkNo	Year	Day	hh	mm	ss	mss	ns	RangeRate(km/s)		Tv	Dv	TSn	RSn	DTp	STp	SId	BkCt	SRt	InTim
28	2016	240	17	9	49	700	0	-6.28718433	0	0	0	f8	f0	8	4	3	001c	1	1
29	2016	240	17	9	50	700	0	-6.28237066	0	0	0	f8	f0	8	4	3	001d	1	1
29	2016	240	17	9	51	700	0	-6.27749977	0	0	0	f8	f0	8	4	3	001d	1	1
29	2016	240	17	9	52	700	0	-6.27258151	0	0	0	f8	f0	8	4	3	001d	1	1
29	2016	240	17	9	53	700	0	-6.26760337	0	0	0	f8	f0	8	4	3	001d	1	1
29	2016	240	17	9	54	700	0	-6.26258725	0	0	0	f8	f0	8	4	3	001d	1	1
29	2016	240	17	9	55	700	0	-6.25748426	0	0	0	f8	f0	8	4	3	001d	1	1
29	2016	240	17	9	56	700	0	-6.25233751	0	0	0	f8	f0	8	4	3	001d	1	1
29	2016	240	17	9	57	700	0	-6.24710748	0	0	0	f8	f0	8	4	3	001d	1	1
29	2016	240	17	9	58	700	0	-6.24186393	0	0	0	f8	f0	8	4	3	001d	1	1
29	2016	240	17	9	59	700	0	-6.23654077	0	0	0	f8	f0	8	4	3	001d	1	1
30	2016	240	17	10	0	700	0	-6.23114007	0	0	0	f8	f0	8	4	3	001e	1	1
30	2016	240	17	10	1	700	0	-6.22567528	0	0	0	f8	f0	8	4	3	001e	1	1
30	2016	240	17	10	2	700	0	-6.22016212	0	0	0	f8	f0	8	4	3	001e	1	1
30	2016	240	17	10	3	700	0	-6.21459907	0	0	0	f8	f0	8	4	3	001e	1	1
